identity_id,customer_id,identifier_type,identifier_value,device_type,browser,ip_region,active_hours,confidence,matched_by
ID_9D67A95E,CUST_STORY_RAHUL,email,rahul238@gmail.com,,,KA,Morning,1.0,deterministic
ID_806729A2,CUST_STORY_RAHUL,device_id,DEV_86FD51F4,Desktop,Firefox,MH,Evening,1.0,deterministic
ID_57E7EC6A,CUST_STORY_PRIYA,email,priya925@gmail.com,,,DL,Morning,1.0,deterministic
ID_76F1AB4B,CUST_STORY_PRIYA,device_id,DEV_181E7645,Desktop,Firefox,MH,Night,1.0,deterministic
ID_7B1DCFD2,CUST_STORY_PRIYA,phone,917744721541,,,DL,Afternoon,1.0,deterministic
ID_5E5089E1,CUST_STORY_ARJUN,email,arjun307@gmail.com,,,TN,Morning,1.0,deterministic
ID_2CB7C856,CUST_STORY_ARJUN,device_id,DEV_BC415E64,Desktop,Chrome,KA,Morning,1.0,deterministic
ID_33A3D408,CUST_STORY_ARJUN,phone,919981644258,,,DL,Evening,1.0,deterministic
ID_7DD2B771,CUST_STORY_SNEHA,email,sneha274@gmail.com,,,KA,Night,1.0,deterministic
ID_D2B67138,CUST_STORY_SNEHA,device_id,DEV_33FAB7F6,Tablet,Chrome,MH,Afternoon,1.0,deterministic
ID_7EA427C8,CUST_STORY_SNEHA,phone,917578012921,,,TN,Morning,1.0,deterministic
ID_797CA551,CUST_DBA58527,email,praneel360@gmail.com,,,TN,Afternoon,1.0,deterministic
ID_2E2C50C9,CUST_DBA58527,device_id,DEV_4DA4D11C,Desktop,Safari,TN,Night,1.0,deterministic
ID_A06BF9B8,CUST_DBA58527,phone,918315131479,,,DL,Morning,1.0,deterministic
ID_2BA68783,CUST_574CC639,email,lakshit835@gmail.com,,,TN,Evening,1.0,deterministic
ID_E09B1509,CUST_574CC639,device_id,DEV_0A38AB91,Mobile,Firefox,MH,Evening,1.0,deterministic
ID_AEBBF74C,CUST_574CC639,phone,918514423076,,,DL,Afternoon,1.0,deterministic
ID_B1507884,CUST_5F74829A,email,chaitanya73@gmail.com,,,MH,Afternoon,1.0,deterministic
ID_44A03D78,CUST_5F74829A,device_id,DEV_4717D487,Mobile,Firefox,TN,Afternoon,1.0,deterministic
ID_A892B854,CUST_312A6DB6,email,bakhshi217@gmail.com,,,DL,Morning,1.0,deterministic
ID_219DD368,CUST_312A6DB6,device_id,DEV_E9096406,Tablet,Firefox,KA,Night,1.0,deterministic
ID_96D92829,CUST_312A6DB6,phone,917048104717,,,KA,Evening,1.0,deterministic
ID_3D1232C1,CUST_729BBAFC,email,yug547@gmail.com,,,KA,Night,1.0,deterministic
ID_C5BED971,CUST_729BBAFC,device_id,DEV_CE4091B8,Desktop,Chrome,KA,Afternoon,1.0,deterministic
ID_C6824BF6,CUST_729BBAFC,phone,918464500064,,,KA,Morning,1.0,deterministic
ID_FED24451,CUST_9CB361E5,email,girik977@gmail.com,,,MH,Night,1.0,deterministic
ID_8C3B5BF5,CUST_9CB361E5,device_id,DEV_71D77CAF,Desktop,Safari,MH,Afternoon,1.0,deterministic
ID_6E25793D,CUST_9CB361E5,phone,918196394374,,,DL,Afternoon,1.0,deterministic
ID_84462D50,CUST_F2095CB0,email,logan54@gmail.com,,,TN,Night,1.0,deterministic
ID_454C9F98,CUST_F2095CB0,device_id,DEV_292D6F50,Tablet,Safari,MH,Afternoon,1.0,deterministic
ID_DD8300C2,CUST_F2095CB0,phone,919954890751,,,MH,Afternoon,1.0,deterministic
ID_D8A03B50,CUST_D0F1DC2C,email,hemangini202@gmail.com,,,MH,Afternoon,1.0,deterministic
ID_38377370,CUST_D0F1DC2C,device_id,DEV_4D6AF4C2,Tablet,Edge,DL,Morning,1.0,deterministic
ID_3D17225D,CUST_A3613257,email,balveer802@gmail.com,,,MH,Evening,1.0,deterministic
ID_532DE57D,CUST_A3613257,device_id,DEV_D45EBC55,Desktop,Firefox,KA,Afternoon,1.0,deterministic
ID_3894882F,CUST_352FAB1D,email,daniel308@gmail.com,,,KA,Evening,1.0,deterministic
ID_36045266,CUST_352FAB1D,device_id,DEV_18EF14B3,Desktop,Edge,MH,Morning,1.0,deterministic
ID_64B1893F,CUST_E80496F2,email,krishna496@gmail.com,,,DL,Evening,1.0,deterministic
ID_1BBEBF53,CUST_E80496F2,device_id,DEV_9C12569D,Tablet,Chrome,DL,Morning,1.0,deterministic
ID_DE00A38D,CUST_E80496F2,phone,919891783161,,,TN,Morning,1.0,deterministic
ID_94D9FAEB,CUST_0389F244,email,ayushman458@gmail.com,,,TN,Afternoon,1.0,deterministic
ID_A725E2AA,CUST_0389F244,device_id,DEV_B8A325C4,Desktop,Firefox,MH,Afternoon,1.0,deterministic
ID_2D83A9CC,CUST_0389F244,phone,919512356629,,,KA,Afternoon,1.0,deterministic
ID_432D5123,CUST_38477D29,email,michael520@gmail.com,,,TN,Morning,1.0,deterministic
ID_E9906BF1,CUST_38477D29,device_id,DEV_018C9850,Desktop,Chrome,TN,Morning,1.0,deterministic
ID_92A1453A,CUST_D9AB9B04,email,amrita230@gmail.com,,,MH,Evening,1.0,deterministic
ID_59774AFF,CUST_D9AB9B04,device_id,DEV_D0AAAC2C,Desktop,Firefox,DL,Evening,1.0,deterministic
ID_736B1BAA,CUST_D9AB9B04,phone,919873511928,,,DL,Afternoon,1.0,deterministic
ID_A3E452FC,CUST_489B0639,email,chasmum516@gmail.com,,,TN,Afternoon,1.0,deterministic
ID_5910AFAE,CUST_489B0639,device_id,DEV_1C147A88,Desktop,Safari,DL,Evening,1.0,deterministic
ID_8CF6A77E,CUST_489B0639,phone,918597726483,,,KA,Night,1.0,deterministic
ID_1A24CCED,CUST_B31F3060,email,yauvani472@gmail.com,,,KA,Evening,1.0,deterministic
ID_65BAC741,CUST_B31F3060,device_id,DEV_F8D4D38D,Tablet,Edge,TN,Afternoon,1.0,deterministic
ID_9154ADD8,CUST_54458FD3,email,xalak399@gmail.com,,,DL,Night,1.0,deterministic
ID_6F31BAA0,CUST_54458FD3,device_id,DEV_880EB5A5,Tablet,Safari,TN,Morning,1.0,deterministic
ID_ECD4506C,CUST_54458FD3,phone,919717047404,,,TN,Afternoon,1.0,deterministic
ID_6A68E1EA,CUST_9B05CEFB,email,advaith775@gmail.com,,,DL,Morning,1.0,deterministic
ID_F01AE6B2,CUST_9B05CEFB,device_id,DEV_03316982,Desktop,Chrome,DL,Morning,1.0,deterministic
ID_D370BD45,CUST_BE4A7697,email,dakshesh401@gmail.com,,,TN,Afternoon,1.0,deterministic
ID_E26AA744,CUST_BE4A7697,device_id,DEV_D7A4D121,Mobile,Chrome,MH,Morning,1.0,deterministic
ID_4562E8FF,CUST_BE4A7697,phone,918631705155,,,TN,Morning,1.0,deterministic
ID_EA0DE6F7,CUST_1336A50D,email,wishi793@gmail.com,,,MH,Afternoon,1.0,deterministic
ID_747B37F9,CUST_1336A50D,device_id,DEV_913066EE,Mobile,Chrome,DL,Night,1.0,deterministic
ID_4B74F1AB,CUST_1336A50D,phone,919651592845,,,DL,Evening,1.0,deterministic
ID_4B48B549,CUST_468EB40A,email,pahal855@gmail.com,,,KA,Afternoon,1.0,deterministic
ID_F655F983,CUST_468EB40A,device_id,DEV_A70871BF,Tablet,Edge,TN,Afternoon,1.0,deterministic
ID_90FA5A26,CUST_F855D551,email,devansh58@gmail.com,,,MH,Evening,1.0,deterministic
ID_406AC3D1,CUST_F855D551,device_id,DEV_235E6217,Desktop,Safari,KA,Night,1.0,deterministic
